Loyalty#,Customer Name,Province or State,City,Latitude,Longitude,Gender,Education,Location Code,Marital Status,LoyaltyStatus,EnrollmentDateOpening,EnrollmentType,Status,MembershipMonths,CLV_log,Income_log,NumFlights_Total,NumFlightsWithCompanions_Total,PointsAccumulated_Total,PointsRedeemed_Total,CompainFlights%,behavior_cluster,value_cluster,final_cluster
480934,Cecilia Householder,Ontario,Toronto,0.03767991951405314,0.676108482215798,female,Bachelor,Urban,Married,Star,2019-02-15,Standard,Active,0.42500000000000004,0.23081184602548532,0.9692169751140848,0.5350877192982456,0.53,0.6679595144224463,0.3391497859913393,0.4430769230769231,0,0,1
549612,Dayle Menez,Alberta,Edmonton,0.5953601051495396,0.26189936585988205,male,College,Rural,Divorced,Star,2019-03-09,Standard,Active,0.41250000000000003,0.2308519604920929,0.0,0.8011695906432749,0.3,0.546736572744942,0.5634424033197686,0.1676923076923077,0,2,0
429460,Necole Hannon,British Columbia,Vancouver,0.3550807543234584,0.14495363380632398,male,College,Urban,Single,Star,2017-07-14,Standard,Cancelled,0.5125000000000001,0.23086390853322714,0.0,0.3362573099415205,0.37,0.29153904112839746,0.1374773572313853,0.4907692307692308,1,2,0
608370,Queen Hagee,Ontario,Toronto,0.03767991951405314,0.676108482215798,male,College,Suburban,Single,Star,2016-02-17,Standard,Active,0.875,0.23086390853322714,0.0,0.5555555555555556,0.55,0.5218317249730613,0.40974002840068047,0.4430769230769231,0,2,0
530508,Claire Latting,Quebec,Hull,0.1377858380998389,0.7206753033987967,male,Bachelor,Suburban,Married,Star,2017-10-25,2021 Promotion,Active,0.625,0.23112324436341902,0.9981126807290558,0.48538011695906436,0.59,0.48231641510382417,0.0,0.543076923076923,0,0,1
927943,Hue Sellner,Ontario,Toronto,0.03767991951405314,0.676108482215798,female,College,Urban,Single,Star,2017-06-09,Standard,Active,0.675,0.23241345707425376,0.0,0.5584795321637427,0.32,0.6893810871659842,0.541863405773467,0.2569230769230769,0,2,0
188893,Nakia Cash,Ontario,Trenton,0.06293343400842488,0.6980514440702621,male,Bachelor,Suburban,Married,Star,2019-12-08,Standard,Active,0.30000000000000004,0.23271400365004347,0.9939667307689062,0.6140350877192983,0.63,0.6020553105937785,0.19764816273690233,0.46,0,1,1
852392,Arlene Conterras,Quebec,Montreal,0.14189944398662568,0.7467379694288839,female,Bachelor,Suburban,Married,Star,2018-05-30,Standard,Active,0.5375,0.23271400365004347,0.9939667307689062,0.42397660818713445,0.53,0.49699596138362695,0.4878193194875835,0.5584615384615385,0,0,1
866307,Dustin Recine,Ontario,Toronto,0.03767991951405314,0.676108482215798,male,Bachelor,Suburban,Married,Star,2019-10-14,Standard,Active,0.325,0.23271400365004347,0.9939667307689062,0.6286549707602339,0.66,0.4258586307346541,0.43586514192813525,0.47076923076923083,0,1,1
932823,Jeremy Dickason,British Columbia,Vancouver,0.3550807543234584,0.14495363380632398,female,Bachelor,Suburban,Married,Star,2018-03-17,Standard,Active,0.5625,0.23286841475038944,0.9348030163148495,0.6871345029239766,0.52,0.6049255337104131,0.19205834683954623,0.3384615384615385,0,0,1
144514,Belkis Siurek,British Columbia,Dawson Creek,0.7202590128338189,0.17996615234708147,female,Bachelor,Urban,Married,Star,2019-06-11,Standard,Active,0.375,0.2329930783269596,0.8767947269653007,0.4385964912280702,0.5,0.5058085475106806,0.32680853626104545,0.5092307692307693,0,1,1
611765,Marjorie Pangelina,Quebec,Quebec City,0.2158827247948043,0.7753893404254446,male,Bachelor,Suburban,Single,Star,2021-01-28,Standard,Active,0.1375,0.2332634437938519,0.9802295792354965,0.24853801169590642,0.22,0.24089598253012673,0.08663211083290265,0.3938461538461539,1,1,2
988178,Andre Cotugno,Quebec,Montreal,0.14189944398662568,0.7467379694288839,male,College,Rural,Single,Star,2016-10-13,Standard,Active,0.775,0.23352596790600977,0.0,0.9005847953216374,0.86,0.7826879812899814,0.3751072552197541,0.4276923076923077,0,2,0
